metric,min,max,mean,solution_count
average_hyperedge_size,2.185185185185185,2.3,2.2234567901234565,3
density,0.3857142857142857,0.4285714285714285,0.3999999999999999,3
hyperedge_count,27.0,30.0,28.0,3
