edge_id,symbols,size,joint_activation_frequency
0,14 18,2,0.26666666666666666
1,17 18,2,0.26666666666666666
2,2 11,2,0.23333333333333334
3,24 27,2,0.23333333333333334
4,9 14,2,0.23333333333333334
5,9 18,2,0.23333333333333334
6,15 18,2,0.23333333333333334
7,2 17,2,0.23333333333333334
8,3 6,2,0.23333333333333334
9,9 17,2,0.23333333333333334
10,11 17,2,0.23333333333333334
11,2 13,2,0.2
12,2 24,2,0.2
13,2 27,2,0.2
14,9 15,2,0.2
15,14 15,2,0.2
16,14 28,2,0.2
17,9 14 18,3,0.2
18,17 26,2,0.2
19,6 27,2,0.2
20,14 17,2,0.2
21,17 29,2,0.2
22,9 17 18,3,0.2
23,14 17 18,3,0.2
24,11 22,2,0.2
25,2 3,2,0.2
26,2 6,2,0.2
27,2 25,2,0.16666666666666666
28,11 23,2,0.16666666666666666
29,13 24,2,0.16666666666666666
30,25 27,2,0.16666666666666666
31,9 14 15,3,0.16666666666666666
32,9 15 18,3,0.16666666666666666
33,14 15 18,3,0.16666666666666666
34,4 17,2,0.16666666666666666
35,3 25,2,0.16666666666666666
36,3 27,2,0.16666666666666666
37,6 24,2,0.16666666666666666
38,6 13 27,3,0.06666666666666667
39,8 25,2,0.03333333333333333
40,3 13 19 28,4,0.0
41,0 9 10,3,0.0
42,14 17 26 29,4,0.03333333333333333
43,0 7 8 24,4,0.0
44,0 1,2,0.0
45,10 29,2,0.06666666666666667
46,4 22,2,0.1
47,4 11,2,0.13333333333333333
48,0 6 9 18,4,0.0
49,0 8 11 19,4,0.0
