solution_index,objective_recovery_error,objective_noise_error,objective_close_pattern_error,objective_complexity,genome,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0,0.03141693376068366,0.03141693376068366,0.10256410256410253,0.46577756677119375,0100000101110110100101101000101011,0.9685830662393163,0.875,0.9685830662393163,"{0.0: 1.0, 0.1: 0.96484375, 0.2: 0.9409054487179488}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9583333333333334, 'noise=0.2;missing=0.0': 0.921875, 'noise=0.2;missing=0.2': 0.9599358974358975}",0.8974358974358975,0.0641025641025641,12,6,16,2.3125,0.47058823529411764,3,1.15625,1.2568359375,0.5295608108108109,4.16812025717001,"{2: 12, 3: 3, 4: 1}",16,0.0,0.46577756677119375
1,0.032251602564102644,0.032251602564102644,0.17948717948717952,0.4372132262831603,0101010010110000000110010101111100,0.9677483974358974,0.8680555555555556,0.9677483974358974,"{0.0: 1.0, 0.1: 0.9720552884615384, 0.2: 0.9311899038461539}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9921875, 'noise=0.1;missing=0.2': 0.951923076923077, 'noise=0.2;missing=0.0': 0.9296875, 'noise=0.2;missing=0.2': 0.9326923076923076}",0.8205128205128205,0.038461538461538464,12,6,15,2.2666666666666666,0.4411764705882353,3,1.0625,0.74609375,0.4430147058823529,4.35937791471612,"{2: 11, 3: 4}",15,0.0,0.4372132262831603
2,0.030215010683760757,0.030215010683760757,0.10256410256410253,0.4931262164792387,0101110001110110100101101001100001,0.9697849893162392,0.8819444444444444,0.9697849893162392,"{0.0: 1.0, 0.1: 0.9704527243589745, 0.2: 0.9389022435897436}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.969551282051282, 'noise=0.2;missing=0.0': 0.953125, 'noise=0.2;missing=0.2': 0.9246794871794872}",0.8974358974358975,0.038461538461538464,12,6,17,2.235294117647059,0.5,3,1.1875,1.27734375,0.5213815789473685,4.14860021052734,"{2: 14, 3: 2, 4: 1}",17,0.0,0.4931262164792387
3,0.02998130341880334,0.02998130341880334,0.11538461538461542,0.46531006704152245,0100000101101110010101111001100001,0.9700186965811967,0.8819444444444444,0.9700186965811967,"{0.0: 1.0, 0.1: 0.9736578525641025, 0.2: 0.9363982371794872}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9759615384615384, 'noise=0.2;missing=0.0': 0.9192708333333334, 'noise=0.2;missing=0.2': 0.953525641025641}",0.8846153846153846,0.05128205128205128,12,6,16,2.25,0.47058823529411764,4,1.125,1.296875,0.546875,4.107017709595357,"{2: 13, 3: 2, 4: 1}",16,0.0,0.46531006704152245
4,0.036792200854700696,0.036792200854700696,0.14102564102564108,0.4379423816861303,0100000101110110100101000100101011,0.9632077991452993,0.8541666666666666,0.9632077991452993,"{0.0: 1.0, 0.1: 0.9608373397435898, 0.2: 0.9287860576923078}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9713541666666666, 'noise=0.1;missing=0.2': 0.9503205128205128, 'noise=0.2;missing=0.0': 0.9088541666666666, 'noise=0.2;missing=0.2': 0.9487179487179488}",0.8589743589743589,0.0641025641025641,12,6,15,2.3333333333333335,0.4411764705882353,4,1.09375,1.1474609375,0.5258928571428572,4.171860873964196,"{2: 11, 3: 3, 4: 1}",15,0.0,0.4379423816861303
