baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,2,0.9780982905982906,0.9111111111111111,0.9780982905982906,"{0.0: 1.0, 0.1: 0.9923076923076922, 0.2: 0.9419871794871796}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 1.0, 'noise=0.1;missing=0.2': 0.9846153846153846, 'noise=0.2;missing=0.0': 0.9583333333333334, 'noise=0.2;missing=0.2': 0.9256410256410258}",0.8947368421052632,0.02631578947368421,18,6,2,2.5,0.05,1,0.15625,0.1318359375,0.84375,2.321928094887362,"{2: 1, 3: 1}"
random,1,10,0.9543002136752137,0.8333333333333334,0.9543002136752137,"{0.0: 1.0, 0.1: 0.9665865384615384, 0.2: 0.8963141025641026}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.95625, 'noise=0.1;missing=0.2': 0.9769230769230769, 'noise=0.2;missing=0.0': 0.8875, 'noise=0.2;missing=0.2': 0.9051282051282051}",0.8421052631578947,0.05263157894736842,18,6,10,2.3,0.25,4,0.71875,1.2021484375,0.7133152173913043,3.468576629687865,"{2: 7, 3: 3}"
random,2,8,0.9505876068376068,0.8222222222222222,0.9505876068376068,"{0.0: 1.0, 0.1: 0.9666666666666667, 0.2: 0.8850961538461538}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.95, 'noise=0.2;missing=0.0': 0.8791666666666667, 'noise=0.2;missing=0.2': 0.8910256410256411}",0.8333333333333334,0.043859649122807015,18,6,8,2.25,0.2,2,0.5625,0.62109375,0.6875,3.503258334775645,"{2: 6, 3: 2}"
random,3,4,0.9648771367521367,0.8666666666666667,0.9648771367521367,"{0.0: 1.0, 0.1: 0.9766826923076922, 0.2: 0.917948717948718}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.96875, 'noise=0.1;missing=0.2': 0.9846153846153847, 'noise=0.2;missing=0.0': 0.9333333333333333, 'noise=0.2;missing=0.2': 0.9025641025641027}",0.8508771929824561,0.05263157894736842,18,6,4,2.25,0.1,2,0.28125,0.3271484375,0.8159722222222222,2.725480556997868,"{2: 3, 3: 1}"
frequency,0,20,0.9519764957264957,0.8111111111111111,0.9519764957264957,"{0.0: 1.0, 0.1: 0.9646634615384616, 0.2: 0.8912660256410256}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.95625, 'noise=0.1;missing=0.2': 0.973076923076923, 'noise=0.2;missing=0.0': 0.88125, 'noise=0.2;missing=0.2': 0.9012820512820512}",0.8508771929824561,0.07894736842105263,18,6,20,2.05,0.5,6,1.28125,2.7646484375,0.6516768292682927,3.7901212117768543,"{2: 19, 3: 1}"
pairwise,0,20,0.9519764957264957,0.8111111111111111,0.9519764957264957,"{0.0: 1.0, 0.1: 0.9646634615384616, 0.2: 0.8912660256410256}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.95625, 'noise=0.1;missing=0.2': 0.973076923076923, 'noise=0.2;missing=0.0': 0.88125, 'noise=0.2;missing=0.2': 0.9012820512820512}",0.8508771929824561,0.07894736842105263,18,6,20,2.0,0.5,6,1.25,2.5,0.6390625,3.8209505944546684,{2: 20}
dense,0,20,0.9519764957264957,0.8111111111111111,0.9519764957264957,"{0.0: 1.0, 0.1: 0.9646634615384616, 0.2: 0.8912660256410256}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.95625, 'noise=0.1;missing=0.2': 0.973076923076923, 'noise=0.2;missing=0.0': 0.88125, 'noise=0.2;missing=0.2': 0.9012820512820512}",0.8508771929824561,0.07894736842105263,18,6,20,2.05,0.5,6,1.28125,2.7646484375,0.6516768292682927,3.7901212117768543,"{2: 19, 3: 1}"
