baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,7,0.9177742165242165,0.7333333333333333,0.9177742165242165,"{0.0: 1.0, 0.15: 0.9528205128205128, 0.3: 0.8005021367521367}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9616666666666667, 'noise=0.15;missing=0.2': 0.975, 'noise=0.15;missing=0.35': 0.9217948717948717, 'noise=0.3;missing=0.0': 0.76, 'noise=0.3;missing=0.2': 0.8145833333333333, 'noise=0.3;missing=0.35': 0.826923076923077}",0.7575757575757576,0.04040404040404041,8,8,7,2.0,0.16666666666666666,3,0.35,0.4774999999999999,0.8035714285714286,3.1820058147602133,{2: 7}
random,1,19,0.9130751424501425,0.725925925925926,0.9130751424501425,"{0.0: 1.0, 0.15: 0.94803952991453, 0.3: 0.7911858974358975}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9783333333333333, 'noise=0.15;missing=0.2': 0.9760416666666667, 'noise=0.15;missing=0.35': 0.8897435897435897, 'noise=0.3;missing=0.0': 0.7416666666666668, 'noise=0.3;missing=0.2': 0.7895833333333333, 'noise=0.3;missing=0.35': 0.8423076923076923}",0.7272727272727273,0.04040404040404041,8,8,19,2.210526315789474,0.4523809523809524,6,1.05,2.1475,0.6726190476190477,4.0260298517012805,"{2: 16, 3: 2, 4: 1}"
random,2,16,0.9152884615384614,0.7185185185185186,0.9152884615384614,"{0.0: 1.0, 0.15: 0.944332264957265, 0.3: 0.8015331196581196}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.9516666666666667, 'noise=0.15;missing=0.2': 0.953125, 'noise=0.15;missing=0.35': 0.9282051282051281, 'noise=0.3;missing=0.0': 0.7883333333333334, 'noise=0.3;missing=0.2': 0.790625, 'noise=0.3;missing=0.35': 0.8256410256410257}",0.6767676767676768,0.0707070707070707,8,8,16,2.125,0.38095238095238093,4,0.85,1.2274999999999998,0.6441176470588236,4.101881223476018,"{2: 15, 4: 1}"
frequency,0,21,0.9059045584045584,0.7037037037037037,0.9059045584045584,"{0.0: 1.0, 0.15: 0.9356837606837606, 0.3: 0.7820299145299145}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.975, 'noise=0.15;missing=0.2': 0.95, 'noise=0.15;missing=0.35': 0.882051282051282, 'noise=0.3;missing=0.0': 0.7733333333333335, 'noise=0.3;missing=0.2': 0.7791666666666667, 'noise=0.3;missing=0.35': 0.7935897435897435}",0.696969696969697,0.08080808080808081,8,8,21,2.0,0.5,8,1.05,2.8975,0.7297619047619047,3.677100755700005,{2: 21}
pairwise,0,21,0.9059045584045584,0.7037037037037037,0.9059045584045584,"{0.0: 1.0, 0.15: 0.9356837606837606, 0.3: 0.7820299145299145}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.975, 'noise=0.15;missing=0.2': 0.95, 'noise=0.15;missing=0.35': 0.882051282051282, 'noise=0.3;missing=0.0': 0.7733333333333335, 'noise=0.3;missing=0.2': 0.7791666666666667, 'noise=0.3;missing=0.35': 0.7935897435897435}",0.696969696969697,0.08080808080808081,8,8,21,2.0,0.5,8,1.05,2.8975,0.7297619047619047,3.677100755700005,{2: 21}
dense,0,21,0.9059045584045584,0.7037037037037037,0.9059045584045584,"{0.0: 1.0, 0.15: 0.9356837606837606, 0.3: 0.7820299145299145}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.0;missing=0.35': 1.0, 'noise=0.15;missing=0.0': 0.975, 'noise=0.15;missing=0.2': 0.95, 'noise=0.15;missing=0.35': 0.882051282051282, 'noise=0.3;missing=0.0': 0.7733333333333335, 'noise=0.3;missing=0.2': 0.7791666666666667, 'noise=0.3;missing=0.35': 0.7935897435897435}",0.696969696969697,0.08080808080808081,8,8,21,2.0,0.5,8,1.05,2.8975,0.7297619047619047,3.677100755700005,{2: 21}
