baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,7,0.983573717948718,0.9375,0.983573717948718,"{0.0: 1.0, 0.1: 0.9935897435897436, 0.2: 0.9571314102564102}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 1.0, 'noise=0.1;missing=0.2': 0.9871794871794872, 'noise=0.2;missing=0.0': 0.96875, 'noise=0.2;missing=0.2': 0.9455128205128206}",0.9555555555555556,0.022222222222222223,11,6,7,2.5714285714285716,0.20588235294117646,2,0.5625,0.43359375,0.59375,3.8365916681089787,"{2: 4, 3: 2, 4: 1}"
random,1,15,0.9522903311965811,0.8402777777777778,0.9522903311965811,"{0.0: 1.0, 0.1: 0.9628405448717948, 0.2: 0.8940304487179488}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9609375, 'noise=0.1;missing=0.2': 0.9647435897435898, 'noise=0.2;missing=0.0': 0.890625, 'noise=0.2;missing=0.2': 0.8974358974358975}",0.8777777777777778,0.03333333333333333,11,6,15,2.4,0.4411764705882353,4,1.125,1.734375,0.6145833333333334,3.9057645846554525,"{2: 10, 3: 4, 4: 1}"
random,2,9,0.9753271901709402,0.9097222222222222,0.9753271901709402,"{0.0: 1.0, 0.1: 0.9883814102564102, 0.2: 0.9376001602564102}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9895833333333334, 'noise=0.1;missing=0.2': 0.9871794871794872, 'noise=0.2;missing=0.0': 0.9296875, 'noise=0.2;missing=0.2': 0.9455128205128206}",0.9222222222222223,0.03333333333333333,11,6,9,2.4444444444444446,0.2647058823529412,3,0.6875,0.65234375,0.5994318181818182,3.879664004902594,"{2: 5, 3: 4}"
frequency,0,17,0.9501869658119657,0.8333333333333334,0.9501869658119657,"{0.0: 1.0, 0.1: 0.9719551282051282, 0.2: 0.8786057692307692}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9791666666666666, 'noise=0.1;missing=0.2': 0.9647435897435898, 'noise=0.2;missing=0.0': 0.90625, 'noise=0.2;missing=0.2': 0.8509615384615383}",0.8777777777777778,0.044444444444444446,11,6,17,2.0588235294117645,0.5,4,1.09375,1.8349609375,0.6419642857142858,3.807435516759526,"{2: 16, 3: 1}"
pairwise,0,17,0.9455462072649572,0.8125,0.9455462072649572,"{0.0: 1.0, 0.1: 0.9606370192307692, 0.2: 0.8760016025641025}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9661458333333334, 'noise=0.1;missing=0.2': 0.9551282051282052, 'noise=0.2;missing=0.0': 0.8802083333333334, 'noise=0.2;missing=0.2': 0.8717948717948717}",0.8444444444444444,0.044444444444444446,11,6,17,2.0,0.5,5,1.0625,1.74609375,0.6341911764705882,3.8192447389337585,{2: 17}
dense,0,17,0.9501869658119657,0.8333333333333334,0.9501869658119657,"{0.0: 1.0, 0.1: 0.9719551282051282, 0.2: 0.8786057692307692}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9791666666666666, 'noise=0.1;missing=0.2': 0.9647435897435898, 'noise=0.2;missing=0.0': 0.90625, 'noise=0.2;missing=0.2': 0.8509615384615383}",0.8777777777777778,0.044444444444444446,11,6,17,2.0588235294117645,0.5,4,1.09375,1.8349609375,0.6419642857142858,3.807435516759526,"{2: 16, 3: 1}"
