edge_id,symbols,size,joint_activation_frequency
0,17 26,2,0.42857142857142855
1,20 22,2,0.32142857142857145
2,20 28,2,0.2857142857142857
3,26 27,2,0.2857142857142857
4,26 34,2,0.2857142857142857
5,7 32,2,0.2857142857142857
6,1 26,2,0.25
7,14 26,2,0.25
8,22 26,2,0.25
9,22 32,2,0.25
10,7 20,2,0.25
11,3 24,2,0.25
12,7 26,2,0.25
13,7 22,2,0.25
14,1 32,2,0.21428571428571427
15,6 26,2,0.21428571428571427
16,14 17,2,0.21428571428571427
17,17 22,2,0.21428571428571427
18,17 32,2,0.21428571428571427
19,26 32,2,0.21428571428571427
20,14 17 26,3,0.21428571428571427
21,17 22 26,3,0.21428571428571427
22,17 26 32,3,0.21428571428571427
23,20 24,2,0.21428571428571427
24,2 26,2,0.21428571428571427
25,3 26,2,0.21428571428571427
26,24 26,2,0.21428571428571427
27,24 34,2,0.21428571428571427
28,24 26 34,3,0.21428571428571427
29,10 23,2,0.21428571428571427
30,10 35,2,0.21428571428571427
31,17 18,2,0.21428571428571427
32,25 35,2,0.21428571428571427
33,28 35,2,0.21428571428571427
34,7 14,2,0.21428571428571427
35,10 26,2,0.21428571428571427
36,20 32,2,0.21428571428571427
37,34 35,2,0.21428571428571427
38,22 24,2,0.21428571428571427
39,18 34,2,0.21428571428571427
40,1 14,2,0.17857142857142858
41,1 17,2,0.17857142857142858
42,15 24 28,3,0.0
43,3 15 23 35,4,0.0
44,0 26 28 34,4,0.0
45,3 22,2,0.14285714285714285
46,10 13,2,0.0
47,6 7 12 31,4,0.0
48,31 35,2,0.03571428571428571
49,11 14 23 31,4,0.0
50,23 33,2,0.03571428571428571
51,12 17,2,0.07142857142857142
52,19 31,2,0.07142857142857142
53,11 14 23 34,4,0.0
54,9 25,2,0.07142857142857142
55,1 3 18 35,4,0.0
56,3 9 24 25,4,0.0
57,8 15 32,3,0.0
58,3 23 30 32,4,0.0
59,9 16 20 31,4,0.0
