edge_id,symbols,size,joint_activation_frequency
0,7 9,2,0.32142857142857145
1,5 7,2,0.2857142857142857
2,7 23,2,0.2857142857142857
3,14 23,2,0.25
4,18 23,2,0.25
5,7 18,2,0.25
6,7 26,2,0.25
7,4 20,2,0.21428571428571427
8,9 23,2,0.21428571428571427
9,10 21,2,0.21428571428571427
10,10 23,2,0.21428571428571427
11,15 23,2,0.21428571428571427
12,8 18,2,0.21428571428571427
13,8 23,2,0.21428571428571427
14,14 18,2,0.21428571428571427
15,14 34,2,0.21428571428571427
16,23 34,2,0.21428571428571427
17,7 10,2,0.21428571428571427
18,7 21,2,0.21428571428571427
19,7 29,2,0.21428571428571427
20,13 35,2,0.21428571428571427
21,19 22,2,0.21428571428571427
22,19 35,2,0.21428571428571427
23,22 35,2,0.21428571428571427
24,19 22 35,3,0.21428571428571427
25,4 7,2,0.21428571428571427
26,7 20,2,0.21428571428571427
27,7 27,2,0.21428571428571427
28,7 8,2,0.21428571428571427
29,7 14,2,0.21428571428571427
30,7 25,2,0.21428571428571427
31,7 34,2,0.21428571428571427
32,5 26,2,0.21428571428571427
33,7 24,2,0.21428571428571427
34,24 26,2,0.21428571428571427
35,5 7 26,3,0.21428571428571427
36,7 15,2,0.21428571428571427
37,4 9,2,0.17857142857142858
38,4 15,2,0.17857142857142858
39,4 23,2,0.17857142857142858
40,9 20,2,0.17857142857142858
41,15 27,2,0.17857142857142858
42,2 3 10,3,0.0
43,12 14,2,0.03571428571428571
44,4 18,2,0.10714285714285714
45,7 17 18 31,4,0.0
46,6 10,2,0.07142857142857142
47,8 17,2,0.07142857142857142
48,7 26 35,3,0.0
49,11 12,2,0.03571428571428571
50,22 27 31,3,0.03571428571428571
51,2 26,2,0.07142857142857142
52,4 11 17 26,4,0.0
53,2 9 23,3,0.0
54,15 19 30,3,0.0
55,5 8 15,3,0.0
56,12 28 32,3,0.0
57,21 22,2,0.03571428571428571
58,22 28,2,0.0
59,3 17,2,0.0
