solution_index,objective_recovery_error,objective_noise_error,objective_close_pattern_error,objective_complexity,genome,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0,0.0,0.0,0.0,0.46341372599219977,0001111010001110100000101110,1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,13,2.6923076923076925,0.4642857142857143,4,1.09375,1.7099609375,0.6276785714285714,3.843010159554856,"{2: 7, 3: 3, 4: 3}",13,0.0,0.46341372599219977
1,0.00520833333333337,0.00520833333333337,0.0,0.3277154693257512,0000100010010000100011001110,0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,9,2.7777777777777777,0.32142857142857145,3,0.78125,0.8583984375,0.61375,3.8634651896016474,"{2: 5, 3: 1, 4: 3}",9,0.0,0.3277154693257512
