baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,13,0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,13,2.4615384615384617,0.4642857142857143,7,1.0,2.4375,0.71484375,3.463710641914682,"{2: 9, 3: 2, 4: 2}"
random,1,7,1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,7,2.5714285714285716,0.25,3,0.5625,0.68359375,0.7048611111111112,3.4613201402110083,"{2: 4, 3: 2, 4: 1}"
random,2,6,0.9947916666666666,0.9722222222222222,0.9947916666666666,"{0.0: 1.0, 0.05: 0.9895833333333334}","{'noise=0.05;missing=0.0': 0.9895833333333334, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,6,2.3333333333333335,0.21428571428571427,2,0.4375,0.55859375,0.7633928571428571,3.09306920777189,"{2: 5, 4: 1}"
frequency,0,14,1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,14,2.0714285714285716,0.5,5,0.90625,2.3349609375,0.7661637931034483,3.164208047583994,"{2: 13, 3: 1}"
pairwise,0,14,1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,14,2.0,0.5,6,0.875,2.109375,0.75,3.26149018937388,{2: 14}
dense,0,14,1.0,1.0,1.0,"{0.0: 1.0, 0.05: 1.0}","{'noise=0.05;missing=0.0': 1.0, 'noise=0.0;missing=0.0': 1.0}",1.0,0.0,5,4,14,2.0714285714285716,0.5,5,0.90625,2.3349609375,0.7661637931034483,3.164208047583994,"{2: 13, 3: 1}"
