solution_index,objective_recovery_error,objective_noise_error,objective_close_pattern_error,objective_complexity,genome,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0,0.04626068376068382,0.04626068376068382,0.13157894736842102,0.42234625603170955,0010010110001000000111100101100000111011,0.9537393162393162,0.8222222222222222,0.9537393162393162,"{0.0: 1.0, 0.1: 0.9557692307692308, 0.2: 0.905448717948718}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.95, 'noise=0.1;missing=0.2': 0.9615384615384616, 'noise=0.2;missing=0.0': 0.875, 'noise=0.2;missing=0.2': 0.9358974358974359}",0.868421052631579,0.05263157894736842,18,6,17,2.2941176470588234,0.425,4,1.21875,1.7958984375,0.5729166666666666,4.067202859776942,"{2: 12, 3: 5}",17,0.0,0.42234625603170955
1,0.04489850427350428,0.04489850427350428,0.14912280701754388,0.47008624588815784,0100000101000010100011110111011100011011,0.9551014957264957,0.8277777777777777,0.9551014957264957,"{0.0: 1.0, 0.1: 0.9728365384615384, 0.2: 0.8924679487179487}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9602564102564102, 'noise=0.2;missing=0.0': 0.8708333333333333, 'noise=0.2;missing=0.2': 0.9141025641025641}",0.8508771929824561,0.06140350877192982,18,6,19,2.3157894736842106,0.475,4,1.375,1.984375,0.5482954545454546,4.152391277629867,"{2: 13, 3: 6}",19,0.0,0.47008624588815784
2,0.04551282051282046,0.04551282051282046,0.14912280701754388,0.3987486572265625,1100010110001000000111100101100000110100,0.9544871794871795,0.8222222222222222,0.9544871794871795,"{0.0: 1.0, 0.1: 0.9623397435897435, 0.2: 0.9011217948717949}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9708333333333333, 'noise=0.1;missing=0.2': 0.9538461538461539, 'noise=0.2;missing=0.0': 0.8791666666666667, 'noise=0.2;missing=0.2': 0.9230769230769231}",0.8508771929824561,0.05263157894736842,18,6,16,2.3125,0.4,5,1.15625,1.8193359375,0.5971283783783784,3.990009704040741,"{2: 12, 3: 3, 4: 1}",16,0.0,0.3987486572265625
3,0.04033119658119677,0.04033119658119677,0.1578947368421053,0.3284495192307692,1100001101000010011000100000000100110100,0.9596688034188032,0.8388888888888889,0.9596688034188032,"{0.0: 1.0, 0.1: 0.9628205128205127, 0.2: 0.9161858974358974}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9666666666666667, 'noise=0.1;missing=0.2': 0.958974358974359, 'noise=0.2;missing=0.0': 0.9041666666666667, 'noise=0.2;missing=0.2': 0.9282051282051282}",0.8421052631578947,0.07017543859649122,18,6,13,2.4615384615384617,0.325,4,1.0,1.25,0.587890625,3.9917292966721747,"{2: 8, 3: 4, 4: 1}",13,0.0,0.3284495192307692
