baseline,run_index,selected_hyperedges,average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram
random,0,9,0.9508814102564104,0.8222222222222222,0.9508814102564104,"{0.0: 1.0, 0.1: 0.9766826923076923, 0.2: 0.8759615384615385}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.967948717948718, 'noise=0.2;missing=0.0': 0.875, 'noise=0.2;missing=0.2': 0.8769230769230769}",0.803921568627451,0.049019607843137254,13,6,9,2.0,0.18,3,0.5625,0.62109375,0.6770833333333334,3.5724312513221195,{2: 9}
random,1,17,0.9471153846153846,0.8055555555555556,0.9471153846153846,"{0.0: 1.0, 0.1: 0.9757211538461538, 0.2: 0.865625}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9770833333333333, 'noise=0.1;missing=0.2': 0.9743589743589745, 'noise=0.2;missing=0.0': 0.88125, 'noise=0.2;missing=0.2': 0.85}",0.7843137254901961,0.058823529411764705,13,6,17,2.2941176470588234,0.34,6,1.21875,2.1083984375,0.6017628205128205,3.9772086288967645,"{2: 13, 3: 3, 4: 1}"
random,2,13,0.9488514957264957,0.8111111111111111,0.9488514957264957,"{0.0: 1.0, 0.1: 0.9674679487179486, 0.2: 0.8790865384615384}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9708333333333333, 'noise=0.1;missing=0.2': 0.9641025641025641, 'noise=0.2;missing=0.0': 0.88125, 'noise=0.2;missing=0.2': 0.8769230769230769}",0.7941176470588235,0.049019607843137254,13,6,13,2.5384615384615383,0.26,5,1.03125,1.2177734375,0.5388257575757576,4.124256907946323,"{2: 7, 3: 5, 4: 1}"
random,3,20,0.9456730769230769,0.8055555555555556,0.9456730769230769,"{0.0: 1.0, 0.1: 0.971073717948718, 0.2: 0.8659455128205129}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9729166666666667, 'noise=0.1;missing=0.2': 0.9692307692307692, 'noise=0.2;missing=0.0': 0.8729166666666667, 'noise=0.2;missing=0.2': 0.8589743589743589}",0.7843137254901961,0.0392156862745098,13,6,20,2.15,0.4,4,1.34375,1.7880859375,0.5443313953488372,4.146740335896194,"{2: 17, 3: 3}"
random,4,8,0.9595886752136753,0.85,0.9595886752136753,"{0.0: 1.0, 0.1: 0.9720352564102565, 0.2: 0.9067307692307691}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9645833333333333, 'noise=0.1;missing=0.2': 0.9794871794871794, 'noise=0.2;missing=0.0': 0.925, 'noise=0.2;missing=0.2': 0.8884615384615384}",0.8431372549019608,0.0392156862745098,13,6,8,2.125,0.16,2,0.53125,0.4990234375,0.6599264705882353,3.6168746059562222,"{2: 7, 3: 1}"
random,5,24,0.9549145299145297,0.8333333333333334,0.9549145299145297,"{0.0: 1.0, 0.1: 0.9866185897435897, 0.2: 0.878125}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.99375, 'noise=0.1;missing=0.2': 0.9794871794871794, 'noise=0.2;missing=0.0': 0.8895833333333333, 'noise=0.2;missing=0.2': 0.8666666666666667}",0.8137254901960784,0.0392156862745098,13,6,24,2.25,0.48,4,1.6875,2.02734375,0.46875,4.379615974265498,"{2: 21, 4: 3}"
random,6,4,0.9772168803418803,0.9055555555555556,0.9772168803418803,"{0.0: 1.0, 0.1: 0.9884615384615384, 0.2: 0.9431891025641026}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.9935897435897435, 'noise=0.2;missing=0.0': 0.9479166666666666, 'noise=0.2;missing=0.2': 0.9384615384615385}",0.8725490196078431,0.0392156862745098,13,6,4,2.5,0.08,2,0.3125,0.27734375,0.74375,3.121928094887362,"{2: 3, 4: 1}"
random,7,12,0.9595886752136753,0.8555555555555555,0.9595886752136753,"{0.0: 1.0, 0.1: 0.9801282051282051, 0.2: 0.8986378205128205}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9833333333333333, 'noise=0.1;missing=0.2': 0.976923076923077, 'noise=0.2;missing=0.0': 0.9229166666666667, 'noise=0.2;missing=0.2': 0.8743589743589744}",0.8529411764705882,0.0392156862745098,13,6,12,2.5,0.24,3,0.9375,0.80859375,0.5125,4.1898980954642875,"{2: 7, 3: 4, 4: 1}"
frequency,0,25,0.9425213675213674,0.7944444444444444,0.9425213675213674,"{0.0: 1.0, 0.1: 0.9598557692307692, 0.2: 0.8677083333333333}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9645833333333333, 'noise=0.1;missing=0.2': 0.9551282051282051, 'noise=0.2;missing=0.0': 0.8854166666666666, 'noise=0.2;missing=0.2': 0.8499999999999998}",0.7352941176470589,0.0392156862745098,13,6,25,2.0,0.5,6,1.5625,2.99609375,0.59,3.9479764393853007,{2: 25}
pairwise,0,25,0.9425213675213674,0.7944444444444444,0.9425213675213674,"{0.0: 1.0, 0.1: 0.9598557692307692, 0.2: 0.8677083333333333}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9645833333333333, 'noise=0.1;missing=0.2': 0.9551282051282051, 'noise=0.2;missing=0.0': 0.8854166666666666, 'noise=0.2;missing=0.2': 0.8499999999999998}",0.7352941176470589,0.0392156862745098,13,6,25,2.0,0.5,6,1.5625,2.99609375,0.59,3.9479764393853007,{2: 25}
dense,0,25,0.9425213675213674,0.7944444444444444,0.9425213675213674,"{0.0: 1.0, 0.1: 0.9598557692307692, 0.2: 0.8677083333333333}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9645833333333333, 'noise=0.1;missing=0.2': 0.9551282051282051, 'noise=0.2;missing=0.0': 0.8854166666666666, 'noise=0.2;missing=0.2': 0.8499999999999998}",0.7352941176470589,0.0392156862745098,13,6,25,2.0,0.5,6,1.5625,2.99609375,0.59,3.9479764393853007,{2: 25}
