edge_id,symbols,size,joint_activation_frequency
0,7 13,2,0.32142857142857145
1,9 13,2,0.2857142857142857
2,28 33,2,0.2857142857142857
3,7 16,2,0.25
4,13 16,2,0.25
5,8 13,2,0.21428571428571427
6,9 10,2,0.21428571428571427
7,9 27,2,0.21428571428571427
8,13 27,2,0.21428571428571427
9,9 13 27,3,0.21428571428571427
10,13 28,2,0.21428571428571427
11,16 28,2,0.21428571428571427
12,19 25,2,0.21428571428571427
13,19 31,2,0.21428571428571427
14,25 31,2,0.21428571428571427
15,7 13 16,3,0.21428571428571427
16,13 16 28,3,0.21428571428571427
17,11 35,2,0.21428571428571427
18,23 35,2,0.21428571428571427
19,33 35,2,0.21428571428571427
20,12 19,2,0.21428571428571427
21,12 27,2,0.21428571428571427
22,16 20,2,0.21428571428571427
23,27 35,2,0.21428571428571427
24,10 13,2,0.17857142857142858
25,10 27,2,0.17857142857142858
26,9 10 13,3,0.17857142857142858
27,0 7,2,0.17857142857142858
28,0 13,2,0.17857142857142858
29,0 28,2,0.17857142857142858
30,2 13,2,0.17857142857142858
31,2 28,2,0.17857142857142858
32,7 28,2,0.17857142857142858
33,0 7 13,3,0.17857142857142858
34,7 13 28,3,0.17857142857142858
35,7 16 28,3,0.17857142857142858
36,19 25 31,3,0.17857142857142858
37,7 13 16 28,4,0.17857142857142858
38,11 22,2,0.17857142857142858
39,11 23,2,0.17857142857142858
40,11 33,2,0.17857142857142858
41,21 33,2,0.17857142857142858
42,6 17 33 34,4,0.0
43,20 23,2,0.03571428571428571
44,14 28,2,0.0
45,10 15,2,0.03571428571428571
46,5 26 28,3,0.0
47,11 22 26,3,0.03571428571428571
48,10 12 14,3,0.0
49,4 27,2,0.07142857142857142
50,13 17 21 30,4,0.0
51,2 17,2,0.10714285714285714
52,2 15 21 30,4,0.03571428571428571
53,31 32,2,0.03571428571428571
54,1 18 22 30,4,0.0
55,11 28,2,0.10714285714285714
56,5 11 16,3,0.0
57,0 20 27 31,4,0.0
58,21 35,2,0.17857142857142858
59,4 23 33,3,0.0
