edge_id,symbols,size,joint_activation_frequency
0,14 27,2,0.23333333333333334
1,5 22,2,0.23333333333333334
2,18 20,2,0.2
3,18 26,2,0.2
4,26 29,2,0.2
5,11 30,2,0.2
6,22 27,2,0.2
7,15 18,2,0.2
8,10 27,2,0.2
9,7 11,2,0.2
10,5 16,2,0.2
11,7 12,2,0.16666666666666666
12,7 24,2,0.16666666666666666
13,7 27,2,0.16666666666666666
14,7 30,2,0.16666666666666666
15,12 21,2,0.16666666666666666
16,12 30,2,0.16666666666666666
17,21 30,2,0.16666666666666666
18,24 30,2,0.16666666666666666
19,2 18,2,0.16666666666666666
20,18 29,2,0.16666666666666666
21,20 29,2,0.16666666666666666
22,22 30,2,0.16666666666666666
23,4 11,2,0.16666666666666666
24,4 30,2,0.16666666666666666
25,11 24,2,0.16666666666666666
26,0 18,2,0.16666666666666666
27,0 26,2,0.16666666666666666
28,15 22,2,0.16666666666666666
29,10 16,2,0.16666666666666666
30,15 16,2,0.16666666666666666
31,16 22,2,0.16666666666666666
32,7 21,2,0.13333333333333333
33,12 24,2,0.13333333333333333
34,21 24,2,0.13333333333333333
35,24 27,2,0.13333333333333333
36,27 30,2,0.13333333333333333
37,7 12 21,3,0.13333333333333333
38,10 13,2,0.03333333333333333
39,7 25,2,0.03333333333333333
40,9 10,2,0.06666666666666667
41,14 17,2,0.03333333333333333
42,6 27 28 31,4,0.0
43,11 15 28,3,0.0
44,4 14 20,3,0.0
45,0 21 27,3,0.0
46,6 21 22,3,0.0
47,0 15 17 21,4,0.0
48,3 6 11 12,4,0.0
49,5 15,2,0.13333333333333333
