variant,pareto_count,best_accuracy,best_robustness,best_discrimination,best_baseline_accuracy,best_baseline_discrimination,mean_hyperedge_count
ordinary,5,0.966693376068376,0.966693376068376,0.8947368421052632,0.9780982905982906,0.8947368421052632,16.2
strong_hyperedge,4,0.9596688034188032,0.9596688034188032,0.868421052631579,0.9780982905982906,0.8947368421052632,16.25
weak_complexity_penalty,5,0.966693376068376,0.966693376068376,0.8947368421052632,0.9780982905982906,0.8947368421052632,16.2
no_complexity_penalty,5,0.966693376068376,0.966693376068376,0.8947368421052632,0.9780982905982906,0.8947368421052632,16.2
