edge_id,symbols,size,joint_activation_frequency
0,1 35,2,0.35714285714285715
1,1 34,2,0.32142857142857145
2,1 12,2,0.32142857142857145
3,11 23,2,0.2857142857142857
4,30 33,2,0.2857142857142857
5,1 28,2,0.2857142857142857
6,1 30,2,0.2857142857142857
7,1 33,2,0.2857142857142857
8,1 14,2,0.2857142857142857
9,1 4,2,0.2857142857142857
10,4 33,2,0.25
11,11 21,2,0.25
12,1 7,2,0.25
13,1 11,2,0.25
14,1 31,2,0.25
15,1 9,2,0.25
16,11 34,2,0.25
17,33 34,2,0.25
18,4 30,2,0.25
19,12 34,2,0.25
20,2 4,2,0.21428571428571427
21,2 23,2,0.21428571428571427
22,4 14,2,0.21428571428571427
23,23 33,2,0.21428571428571427
24,7 24,2,0.21428571428571427
25,8 11,2,0.21428571428571427
26,11 24,2,0.21428571428571427
27,11 25,2,0.21428571428571427
28,11 30,2,0.21428571428571427
29,11 33,2,0.21428571428571427
30,21 24,2,0.21428571428571427
31,1 5,2,0.21428571428571427
32,3 5,2,0.21428571428571427
33,5 14,2,0.21428571428571427
34,9 14,2,0.21428571428571427
35,14 28,2,0.21428571428571427
36,1 9 14,3,0.21428571428571427
37,1 24,2,0.21428571428571427
38,4 12,2,0.21428571428571427
39,4 34,2,0.21428571428571427
40,12 33,2,0.21428571428571427
41,12 35,2,0.21428571428571427
42,0 6,2,0.0
43,3 6 7 13,4,0.0
44,2 5 28 34,4,0.03571428571428571
45,12 23,2,0.17857142857142858
46,13 33,2,0.0
47,6 13 27,3,0.0
48,8 23,2,0.10714285714285714
49,7 21,2,0.17857142857142858
50,6 18 25,3,0.0
51,1 16 25 32,4,0.0
52,4 6 13,3,0.0
53,1 27,2,0.10714285714285714
54,13 22,2,0.07142857142857142
55,6 16 23,3,0.0
56,5 10 15 26,4,0.0
57,19 30,2,0.03571428571428571
58,8 21 25,3,0.10714285714285714
59,33 35,2,0.14285714285714285
